tag,step,wall_time,value
env/win_rate,49152,1763206304.38883,0.0
env/win_rate,98304,1763206310.694345,0.0
env/win_rate,147456,1763206317.0870335,0.0
env/win_rate,196608,1763206323.5089912,0.0
env/win_rate,245760,1763206330.1501982,0.0
env/win_rate,294912,1763206336.941844,0.0
env/win_rate,344064,1763206343.6113834,0.0
env/win_rate,393216,1763206350.0518732,0.0
env/win_rate,442368,1763206356.8035903,0.0
env/win_rate,491520,1763206363.8681817,0.0
env/win_rate,540672,1763206370.448166,0.0
env/win_rate,589824,1763206376.983138,0.0
env/win_rate,638976,1763206384.1457362,0.0
env/win_rate,688128,1763206390.7266204,0.0
env/win_rate,737280,1763206397.3248117,0.0
env/win_rate,786432,1763206403.94081,0.0
env/win_rate,800000,1763206444.3782008,0.0
env/win_rate,835584,1763206446.0709865,0.0
env/win_rate,884736,1763206452.9760106,0.0
env/win_rate,933888,1763206459.4269083,0.0
env/win_rate,983040,1763206466.1271415,0.0
env/win_rate,1032192,1763206472.7172325,0.0
env/win_rate,1081344,1763206479.2146044,0.0
env/win_rate,1130496,1763206485.7841907,0.0
env/win_rate,1179648,1763206492.9166045,0.0
env/win_rate,1228800,1763206499.5154219,0.0
env/win_rate,1277952,1763206506.3536983,0.0
env/win_rate,1327104,1763206512.8497431,0.0
env/win_rate,1376256,1763206519.7601206,0.0
env/win_rate,1425408,1763206526.3755496,0.0
env/win_rate,1474560,1763206532.9534278,0.0
env/win_rate,1523712,1763206539.4328666,0.0
env/win_rate,1572864,1763206546.1797698,0.0
env/win_rate,1600000,1763206623.1700175,0.0
env/win_rate,1622016,1763206624.2145772,0.0
env/win_rate,1671168,1763206631.5908165,0.0
env/win_rate,1720320,1763206638.3451762,0.0
env/win_rate,1769472,1763206645.0747223,0.0
env/win_rate,1818624,1763206651.7923539,0.0
env/win_rate,1867776,1763206658.1380951,0.0
env/win_rate,1916928,1763206664.6925197,0.0
env/win_rate,1966080,1763206671.1156068,0.0
env/win_rate,2015232,1763206677.9209826,0.0
rollout/ep_rew_mean,49152,1763206304.38883,16.059391021728516
rollout/ep_rew_mean,98304,1763206310.694345,36.10621643066406
rollout/ep_rew_mean,147456,1763206317.0870335,85.21392059326172
rollout/ep_rew_mean,196608,1763206323.5089912,159.05026245117188
rollout/ep_rew_mean,245760,1763206330.1501982,190.7404022216797
rollout/ep_rew_mean,294912,1763206336.941844,219.89295959472656
rollout/ep_rew_mean,344064,1763206343.6113834,218.9031219482422
rollout/ep_rew_mean,393216,1763206350.0518732,248.0098876953125
rollout/ep_rew_mean,442368,1763206356.8035903,252.66026306152344
rollout/ep_rew_mean,491520,1763206363.8681817,278.88336181640625
rollout/ep_rew_mean,540672,1763206370.448166,301.4331970214844
rollout/ep_rew_mean,589824,1763206376.983138,320.0223693847656
rollout/ep_rew_mean,638976,1763206384.1457362,325.7711181640625
rollout/ep_rew_mean,688128,1763206390.7266204,325.2768859863281
rollout/ep_rew_mean,737280,1763206397.3248117,348.68017578125
rollout/ep_rew_mean,786432,1763206403.94081,385.20635986328125
rollout/ep_rew_mean,835584,1763206446.0709865,432.1427001953125
rollout/ep_rew_mean,884736,1763206452.9760106,433.28839111328125
rollout/ep_rew_mean,933888,1763206459.4269083,459.6546936035156
rollout/ep_rew_mean,983040,1763206466.1271415,483.6352233886719
rollout/ep_rew_mean,1032192,1763206472.7172325,499.76544189453125
rollout/ep_rew_mean,1081344,1763206479.2146044,502.797119140625
rollout/ep_rew_mean,1130496,1763206485.785191,528.6866455078125
rollout/ep_rew_mean,1179648,1763206492.9166045,552.1665649414062
rollout/ep_rew_mean,1228800,1763206499.5154219,562.4054565429688
rollout/ep_rew_mean,1277952,1763206506.3536983,574.9954833984375
rollout/ep_rew_mean,1327104,1763206512.8497431,627.582763671875
rollout/ep_rew_mean,1376256,1763206519.7601206,639.1724853515625
rollout/ep_rew_mean,1425408,1763206526.3755496,639.1724853515625
rollout/ep_rew_mean,1474560,1763206532.9534278,682.3755493164062
rollout/ep_rew_mean,1523712,1763206539.4328666,743.5029907226562
rollout/ep_rew_mean,1572864,1763206546.1797698,739.0618896484375
rollout/ep_rew_mean,1622016,1763206624.2145772,744.43408203125
rollout/ep_rew_mean,1671168,1763206631.5908165,740.1318969726562
rollout/ep_rew_mean,1720320,1763206638.3451762,748.95263671875
rollout/ep_rew_mean,1769472,1763206645.0747223,776.0914306640625
rollout/ep_rew_mean,1818624,1763206651.7923539,771.544677734375
rollout/ep_rew_mean,1867776,1763206658.1380951,776.9146118164062
rollout/ep_rew_mean,1916928,1763206664.6925197,781.0332641601562
rollout/ep_rew_mean,1966080,1763206671.1156068,778.7382202148438
rollout/ep_rew_mean,2015232,1763206677.9209826,787.6679077148438
train/entropy_loss,98304,1763206310.694345,-0.0928303673863411
train/entropy_loss,147456,1763206317.0880337,-0.09572109580039978
train/entropy_loss,196608,1763206323.5089912,-0.10814224928617477
train/entropy_loss,245760,1763206330.1501982,-0.10565381497144699
train/entropy_loss,294912,1763206336.941844,-0.10629269480705261
train/entropy_loss,344064,1763206343.6113834,-0.10794337093830109
train/entropy_loss,393216,1763206350.0518732,-0.10645114630460739
train/entropy_loss,442368,1763206356.8035903,-0.10022344440221786
train/entropy_loss,491520,1763206363.8681817,-0.09932126849889755
train/entropy_loss,540672,1763206370.448166,-0.09899488091468811
train/entropy_loss,589824,1763206376.983138,-0.10586376488208771
train/entropy_loss,638976,1763206384.1457362,-0.10131316632032394
train/entropy_loss,688128,1763206390.7266204,-0.10262831300497055
train/entropy_loss,737280,1763206397.3248117,-0.10234886407852173
train/entropy_loss,786432,1763206403.94081,-0.09988486766815186
train/entropy_loss,800000,1763206444.3782008,-0.10318010300397873
train/entropy_loss,884736,1763206452.9760106,-0.10284978151321411
train/entropy_loss,933888,1763206459.4269083,-0.10288553684949875
train/entropy_loss,983040,1763206466.1271415,-0.1022195890545845
train/entropy_loss,1032192,1763206472.7172325,-0.0999927818775177
train/entropy_loss,1081344,1763206479.2146044,-0.0993964746594429
train/entropy_loss,1130496,1763206485.785191,-0.09947669506072998
train/entropy_loss,1179648,1763206492.9166045,-0.09934258460998535
train/entropy_loss,1228800,1763206499.5164225,-0.09677007049322128
train/entropy_loss,1277952,1763206506.3536983,-0.09684817492961884
train/entropy_loss,1327104,1763206512.8497431,-0.09537323564291
train/entropy_loss,1376256,1763206519.7611206,-0.09806834161281586
train/entropy_loss,1425408,1763206526.37655,-0.09743378311395645
train/entropy_loss,1474560,1763206532.9534278,-0.09671778231859207
train/entropy_loss,1523712,1763206539.4328666,-0.0942874401807785
train/entropy_loss,1572864,1763206546.1807685,-0.09395495057106018
train/entropy_loss,1600000,1763206623.1700175,-0.09030452370643616
train/entropy_loss,1671168,1763206631.5908165,-0.09512119740247726
train/entropy_loss,1720320,1763206638.3451762,-0.09694099426269531
train/entropy_loss,1769472,1763206645.0757232,-0.093961201608181
train/entropy_loss,1818624,1763206651.7923539,-0.09041248261928558
train/entropy_loss,1867776,1763206658.1380951,-0.09262816607952118
train/entropy_loss,1916928,1763206664.6925197,-0.09370569884777069
train/entropy_loss,1966080,1763206671.1176062,-0.09892567247152328
train/entropy_loss,2015232,1763206677.9209826,-0.0966624766588211
train/loss,98304,1763206310.695344,0.03594112768769264
train/loss,147456,1763206317.0880337,0.05292297527194023
train/loss,196608,1763206323.5089912,0.05897810310125351
train/loss,245760,1763206330.1511986,0.05452130362391472
train/loss,294912,1763206336.9428437,0.045929957181215286
train/loss,344064,1763206343.6113834,0.05051147937774658
train/loss,393216,1763206350.0528731,0.05490611121058464
train/loss,442368,1763206356.8045852,0.059701643884181976
train/loss,491520,1763206363.8691819,0.04299226403236389
train/loss,540672,1763206370.4491658,0.04613872990012169
train/loss,589824,1763206376.9841385,0.059874922037124634
train/loss,638976,1763206384.1467361,0.04808680713176727
train/loss,688128,1763206390.7266204,0.05007416009902954
train/loss,737280,1763206397.3248117,0.047460444271564484
train/loss,786432,1763206403.9418101,0.05831185355782509
train/loss,800000,1763206444.3782008,0.051200538873672485
train/loss,884736,1763206452.977011,0.053808920085430145
train/loss,933888,1763206459.4279094,0.048205453902482986
train/loss,983040,1763206466.128142,0.05066869407892227
train/loss,1032192,1763206472.719233,0.05091609060764313
train/loss,1081344,1763206479.2146044,0.05496381223201752
train/loss,1130496,1763206485.785191,0.05471339821815491
train/loss,1179648,1763206492.917603,0.05807365104556084
train/loss,1228800,1763206499.5164225,0.05791403725743294
train/loss,1277952,1763206506.354698,0.05867168679833412
train/loss,1327104,1763206512.8507438,0.05007266253232956
train/loss,1376256,1763206519.7611206,0.05217009410262108
train/loss,1425408,1763206526.37655,0.0540001317858696
train/loss,1474560,1763206532.9544275,0.050793446600437164
train/loss,1523712,1763206539.4328666,0.05397144705057144
train/loss,1572864,1763206546.1812847,0.05590846389532089
train/loss,1600000,1763206623.171017,0.048531997948884964
train/loss,1671168,1763206631.5918162,0.054564446210861206
train/loss,1720320,1763206638.3461754,0.060982946306467056
train/loss,1769472,1763206645.0757232,0.054161109030246735
train/loss,1818624,1763206651.7933538,0.05414123088121414
train/loss,1867776,1763206658.1390953,0.05497492104768753
train/loss,1916928,1763206664.6935198,0.05148496478796005
train/loss,1966080,1763206671.1176062,0.051960743963718414
train/loss,2015232,1763206677.9209826,0.053492411971092224
train/policy_gradient_loss,98304,1763206310.695344,2.6190682547166944e-05
train/policy_gradient_loss,147456,1763206317.0880337,-0.00018884112068917602
train/policy_gradient_loss,196608,1763206323.5089912,-0.00027263013180345297
train/policy_gradient_loss,245760,1763206330.1511986,-0.0004149013548158109
train/policy_gradient_loss,294912,1763206336.9428437,-0.0005159642896614969
train/policy_gradient_loss,344064,1763206343.6123838,-0.0005100708804093301
train/policy_gradient_loss,393216,1763206350.0528731,-0.00038273140671662986
train/policy_gradient_loss,442368,1763206356.8045852,-0.0002933281648438424
train/policy_gradient_loss,491520,1763206363.8691819,-0.00022834065021015704
train/policy_gradient_loss,540672,1763206370.4491658,-0.0004517780616879463
train/policy_gradient_loss,589824,1763206376.9841385,-0.0005578614654950798
train/policy_gradient_loss,638976,1763206384.1467361,-0.00023461584351025522
train/policy_gradient_loss,688128,1763206390.7276206,-0.0003261871461290866
train/policy_gradient_loss,737280,1763206397.3258111,-0.0003019955474883318
train/policy_gradient_loss,786432,1763206403.9418101,-0.0004562938993331045
train/policy_gradient_loss,800000,1763206444.3791993,-0.00032579913386143744
train/policy_gradient_loss,884736,1763206452.977011,-0.0003166038659401238
train/policy_gradient_loss,933888,1763206459.4279094,-0.00025756488321349025
train/policy_gradient_loss,983040,1763206466.128142,-0.00026405867538414896
train/policy_gradient_loss,1032192,1763206472.719233,-0.00034602193045429885
train/policy_gradient_loss,1081344,1763206479.215602,-0.00037377027911134064
train/policy_gradient_loss,1130496,1763206485.785191,-0.0004194833163637668
train/policy_gradient_loss,1179648,1763206492.917603,-0.0002853389596566558
train/policy_gradient_loss,1228800,1763206499.5164225,-0.0005324190715327859
train/policy_gradient_loss,1277952,1763206506.354698,-0.00032208437914960086
train/policy_gradient_loss,1327104,1763206512.8507438,-0.00033931698999367654
train/policy_gradient_loss,1376256,1763206519.7611206,-0.00030312209855765104
train/policy_gradient_loss,1425408,1763206526.37655,-0.00044617700041271746
train/policy_gradient_loss,1474560,1763206532.9544275,-0.0005406741402111948
train/policy_gradient_loss,1523712,1763206539.4328666,-0.0003714711929205805
train/policy_gradient_loss,1572864,1763206546.181798,-0.000393050373531878
train/policy_gradient_loss,1600000,1763206623.171017,-0.00046242543612606823
train/policy_gradient_loss,1671168,1763206631.5918162,-0.0005086644669063389
train/policy_gradient_loss,1720320,1763206638.3461754,-0.00040431416709907353
train/policy_gradient_loss,1769472,1763206645.0757232,-0.0003761827538255602
train/policy_gradient_loss,1818624,1763206651.7933538,-0.0005008133011870086
train/policy_gradient_loss,1867776,1763206658.1390953,-0.00040989878471009433
train/policy_gradient_loss,1916928,1763206664.6935198,-0.00028417707653716207
train/policy_gradient_loss,1966080,1763206671.1176062,-0.000388562330044806
train/policy_gradient_loss,2015232,1763206677.9209826,-0.00047715206164866686
train/value_loss,98304,1763206310.7049804,0.03153134882450104
train/value_loss,147456,1763206317.089032,0.03438728302717209
train/value_loss,196608,1763206323.5099905,0.039421651512384415
train/value_loss,245760,1763206330.1521983,0.04014851525425911
train/value_loss,294912,1763206336.9428437,0.03843235969543457
train/value_loss,344064,1763206343.6123838,0.03923551365733147
train/value_loss,393216,1763206350.0528731,0.038295380771160126
train/value_loss,442368,1763206356.8045852,0.03943328931927681
train/value_loss,491520,1763206363.8691819,0.03543707728385925
train/value_loss,540672,1763206370.4491658,0.03766179829835892
train/value_loss,589824,1763206376.9841385,0.03827349841594696
train/value_loss,638976,1763206384.1467361,0.03868173435330391
train/value_loss,688128,1763206390.7276206,0.03554947301745415
train/value_loss,737280,1763206397.3258111,0.03538086265325546
train/value_loss,786432,1763206403.9418101,0.03927580267190933
train/value_loss,800000,1763206444.3791993,0.03689393401145935
train/value_loss,884736,1763206452.977011,0.03729652240872383
train/value_loss,933888,1763206459.4279094,0.035034243017435074
train/value_loss,983040,1763206466.128142,0.03714941442012787
train/value_loss,1032192,1763206472.7202322,0.037498775869607925
train/value_loss,1081344,1763206479.215602,0.03647152706980705
train/value_loss,1130496,1763206485.7861922,0.0355798713862896
train/value_loss,1179648,1763206492.917603,0.03758573159575462
train/value_loss,1228800,1763206499.5174203,0.03778790682554245
train/value_loss,1277952,1763206506.354698,0.035520344972610474
train/value_loss,1327104,1763206512.8507438,0.03722460940480232
train/value_loss,1376256,1763206519.7621207,0.040166616439819336
train/value_loss,1425408,1763206526.3775506,0.036933980882167816
train/value_loss,1474560,1763206532.9544275,0.036318957805633545
train/value_loss,1523712,1763206539.4338665,0.038883648812770844
train/value_loss,1572864,1763206546.181798,0.04005182906985283
train/value_loss,1600000,1763206623.171017,0.03449159488081932
train/value_loss,1671168,1763206631.5918162,0.037197962403297424
train/value_loss,1720320,1763206638.3461754,0.037292614579200745
train/value_loss,1769472,1763206645.0767226,0.036629971116781235
train/value_loss,1818624,1763206651.7933538,0.03755710646510124
train/value_loss,1867776,1763206658.1390953,0.03744569048285484
train/value_loss,1916928,1763206664.6935198,0.037305060774087906
train/value_loss,1966080,1763206671.1176062,0.03735274076461792
train/value_loss,2015232,1763206677.9219813,0.03730398416519165
